iter	RMSE
0	0.5051432254
1	0.4911225882
2	0.4758795664
3	0.4626872283
4	0.4496692271
5	0.4373480645
6	0.4257026958
7	0.4144200143
8	0.4043981425
9	0.3945089827
10	0.3845977424
11	0.374892197
12	0.3664833196
13	0.3582150598
14	0.3500178149
15	0.3426170317
16	0.3358004626
17	0.3284162592
18	0.322105364
19	0.3161076436
20	0.310253438
21	0.3043612105
22	0.2997253968
23	0.2948220435
24	0.2900635789
25	0.2857685573
26	0.281614624
27	0.277874348
28	0.2741426446
29	0.2708633283
30	0.2672867776
31	0.2637649568
32	0.260265838
33	0.2577344296
34	0.2547497593
35	0.2521747008
36	0.249578939
37	0.2474667251
38	0.2452289971
39	0.2427354719
40	0.2406412255
41	0.2387431123
42	0.2367884639
43	0.2348137695
44	0.2329422971
45	0.2309711287
46	0.2292942396
47	0.2274570211
48	0.2258695175
49	0.2238903869
50	0.2225349472
51	0.220832645
52	0.2191052428
53	0.2177583275
54	0.2164492525
55	0.2147140085
56	0.213206729
57	0.2120276508
58	0.210799591
59	0.2095239172
60	0.2084043289
61	0.2070692654
62	0.2059755157
63	0.2050935312
64	0.2042543343
65	0.2034832166
66	0.2022830158
67	0.2012305588
68	0.2003282177
69	0.1991839335
70	0.1981957379
71	0.1973367218
72	0.1964622827
73	0.1954624587
74	0.1946519557
75	0.1940033685
76	0.1933418554
77	0.1926013962
78	0.1917900902
79	0.1912157395
80	0.1906115553
81	0.1897941042
82	0.1891888616
83	0.1884869695
84	0.1879826248
85	0.1872725725
86	0.1866281393
87	0.1859292262
88	0.1852513648
89	0.184520226
90	0.183927699
91	0.1833607959
92	0.1829145871
93	0.1823566472
94	0.181891901
95	0.181449439
96	0.1809392847
97	0.1805098152
98	0.1800919583
99	0.1795790548
100	0.1790876006
101	0.1787474068
102	0.1782860394
103	0.177617979
104	0.1771818067
105	0.1767105922
106	0.1761789538
107	0.1757059108
108	0.1752722438
109	0.1749837961
110	0.1744636161
111	0.1739710614
112	0.1734268495
113	0.1730372671
114	0.1727467537
115	0.172474514
116	0.1720327478
117	0.1714850578
118	0.1710759522
119	0.1706239158
120	0.1701095302
121	0.1696801577
122	0.1693359388
123	0.1690280281
124	0.1687098826
125	0.168378959
126	0.1680111309
127	0.1677230648
128	0.1673515135
129	0.1670076608
130	0.1666763457
131	0.1663755734
132	0.1660171077
133	0.165712062
134	0.165381068
135	0.1650703704
136	0.1648457721
137	0.1643918323
138	0.1641563784
139	0.1636593794
140	0.1634793588
141	0.1631687409
142	0.1626743316
143	0.1623742196
144	0.1619339148
145	0.1615736869
146	0.1611507703
147	0.1607958595
148	0.1603164548
149	0.1599927743
150	0.1597332361
151	0.1594737146
152	0.1591553051
153	0.1588636483
154	0.1586838963
155	0.1584650631
