iter	Passed	Remaining
0	2	2461
1	5	2705
2	8	2847
3	11	2853
4	14	2862
5	17	2940
6	21	2985
7	24	2980
8	27	2983
9	30	2970
10	33	2967
11	36	2973
12	41	3175
13	47	3312
14	49	3262
15	52	3220
16	55	3199
17	58	3176
18	61	3154
19	64	3148
20	67	3128
21	70	3131
22	73	3141
23	76	3122
24	79	3106
25	82	3082
26	85	3063
27	89	3106
28	92	3092
29	95	3074
30	97	3057
31	100	3036
32	103	3030
33	106	3023
34	109	3013
35	112	3005
36	115	2994
37	118	2989
38	122	3022
39	125	3016
40	128	3006
41	131	2991
42	133	2981
43	137	2978
44	139	2968
45	142	2959
46	145	2954
47	148	2947
48	151	2948
49	155	2951
50	158	2942
51	160	2932
52	163	2926
53	166	2916
54	170	2936
55	173	2928
56	183	3035
57	186	3026
58	189	3017
59	191	3007
60	194	2997
61	197	2987
62	200	2985
63	207	3037
64	211	3036
65	213	3026
66	216	3013
67	219	3007
68	222	3005
69	225	3000
70	228	2992
71	231	2986
72	235	2985
73	238	2981
74	240	2972
75	243	2964
76	246	2956
77	249	2949
78	253	2954
79	256	2946
80	258	2937
81	261	2929
82	264	2922
83	267	2916
84	270	2909
85	273	2905
86	276	2900
87	279	2893
88	282	2893
89	286	2895
90	289	2888
91	291	2880
92	294	2872
93	297	2867
94	300	2862
95	303	2855
96	306	2850
97	309	2845
98	312	2840
99	315	2836
100	318	2836
101	321	2830
102	324	2823
103	326	2814
104	329	2807
105	333	2811
106	337	2814
107	340	2809
108	342	2803
109	345	2796
110	348	2790
111	351	2785
112	354	2780
113	357	2776
114	360	2771
115	363	2767
116	368	2783
117	397	2973
118	401	2969
119	403	2961
120	406	2953
121	409	2944
122	411	2936
123	415	2937
124	418	2931
125	421	2922
126	424	2915
127	426	2907
128	429	2899
129	432	2893
130	435	2887
131	438	2881
132	441	2875
133	443	2868
134	449	2879
135	459	2918
136	462	2910
137	464	2902
138	467	2895
139	470	2888
140	473	2882
141	475	2875
142	479	2872
143	482	2867
144	485	2860
145	487	2852
146	490	2845
147	492	2837
148	495	2831
149	498	2826
150	501	2819
151	504	2812
152	506	2806
153	509	2799
154	512	2794
155	515	2789
156	518	2782
157	521	2777
158	524	2772
159	527	2767
160	533	2781
161	536	2776
162	539	2769
163	542	2763
164	544	2757
165	547	2752
166	550	2746
167	553	2741
168	556	2735
169	567	2769
170	569	2762
171	572	2756
172	575	2749
173	578	2748
174	582	2746
175	585	2740
176	587	2733
177	590	2727
178	593	2720
179	596	2716
180	598	2709
181	601	2705
182	604	2699
183	607	2694
184	614	2707
185	620	2714
186	623	2709
187	625	2703
188	628	2698
189	631	2693
190	634	2688
191	637	2682
192	640	2677
193	643	2674
194	646	2669
195	649	2663
196	651	2656
197	654	2651
198	657	2645
199	661	2644
200	663	2639
201	666	2633
202	669	2627
203	671	2621
204	674	2616
205	678	2614
206	681	2609
207	684	2605
208	687	2600
209	689	2595
210	693	2593
211	696	2590
212	699	2584
213	702	2579
214	704	2573
215	707	2568
216	710	2563
217	713	2558
218	716	2553
219	718	2548
220	721	2544
221	725	2542
222	728	2538
223	731	2533
224	734	2528
225	736	2522
226	739	2517
227	743	2517
228	746	2512
229	748	2507
230	751	2502
231	755	2499
232	758	2496
233	761	2492
234	764	2488
235	767	2485
236	770	2481
237	775	2482
238	778	2479
239	781	2475
240	785	2472
241	788	2469
242	791	2464
243	794	2460
244	797	2456
245	800	2452
246	802	2448
247	806	2444
248	809	2440
249	812	2436
250	814	2431
251	817	2426
252	820	2421
253	824	2421
254	827	2417
255	829	2412
256	832	2407
257	835	2402
