iter	RMSE
0	0.4992500307
1	0.4852227335
2	0.4725832386
3	0.4601646584
4	0.4469920305
5	0.4353543641
6	0.4240393135
7	0.4133556203
8	0.4026462023
9	0.3921565955
10	0.3828433133
11	0.3746051843
12	0.3665894005
13	0.3588718752
14	0.3513847202
15	0.3443733524
16	0.3380076579
17	0.3325859926
18	0.3261150929
19	0.3203669837
20	0.3149486927
21	0.3097039459
22	0.3049382677
23	0.3006640674
24	0.296560858
25	0.2922725577
26	0.2871842287
27	0.2829720663
28	0.2790436127
29	0.2747046749
30	0.2713703444
31	0.2681286827
32	0.2649112801
33	0.261968043
34	0.2594813727
35	0.2564763923
36	0.2535041713
37	0.2508147289
38	0.248340155
39	0.2458996015
40	0.2436719168
41	0.2413651168
42	0.239019647
43	0.2370882042
44	0.2350218163
45	0.2332793382
46	0.2315853349
47	0.2297297932
48	0.2280568753
49	0.2265487391
50	0.2248337939
51	0.2237473473
52	0.2222853335
53	0.2207909318
54	0.2193820153
55	0.2181449806
56	0.2166143223
57	0.2155779595
58	0.2144608202
59	0.2130893709
60	0.2119746508
61	0.2110525111
62	0.2098563137
63	0.2086501286
64	0.2076354824
65	0.2064067259
66	0.2053004225
67	0.204227113
68	0.2031998704
69	0.2022843285
70	0.2013284391
71	0.2006926604
72	0.199848819
73	0.1991203486
74	0.1984209375
75	0.1975644073
76	0.1967317232
77	0.1961116521
78	0.1952881546
79	0.1945688283
80	0.1939536114
81	0.1929997785
82	0.1922260626
83	0.1916421542
84	0.1909316871
85	0.1901019478
86	0.1895381845
87	0.188900144
88	0.1883055023
89	0.187600052
90	0.1867445012
91	0.1862186847
92	0.1857147079
93	0.1851465073
94	0.1845618879
95	0.1840760154
96	0.1834785959
97	0.1829139485
98	0.1824425235
99	0.1820059138
100	0.1816212891
101	0.1811032268
102	0.1806913469
103	0.1799916236
104	0.1793997838
105	0.1789682999
106	0.1785372316
107	0.1778955023
108	0.1774484016
109	0.1770601237
110	0.1766858471
111	0.1762545692
112	0.1759438126
113	0.1753427068
114	0.1750084984
115	0.1746111024
116	0.1742488952
117	0.1738296714
118	0.1733353982
119	0.1729978967
120	0.172601289
121	0.1721298673
122	0.1715899022
123	0.1711182291
124	0.1707364026
125	0.1701930073
126	0.1697961045
127	0.1692741014
128	0.168945781
129	0.1686236314
130	0.1683054716
131	0.1677963972
132	0.1673901679
133	0.1670375592
134	0.1665626247
135	0.1661305457
136	0.1657718422
137	0.1654046409
138	0.1651044321
139	0.1648453221
140	0.1644683207
141	0.1640678011
