iter	RMSE
0	0.3396694649
1	0.3305742889
2	0.3219415386
3	0.3137132229
4	0.3061399068
5	0.298602532
6	0.291360447
7	0.2843468564
8	0.2772739188
9	0.2711952609
10	0.2650301562
11	0.2589963966
12	0.2540754706
13	0.249395213
14	0.244412341
15	0.2401260538
16	0.2360483227
17	0.2320185263
18	0.2277897905
19	0.2242038741
20	0.2206072769
21	0.2171110333
22	0.2138115048
23	0.2104752885
24	0.2073777324
25	0.2045438006
26	0.2016205253
27	0.1988381625
28	0.1965887024
29	0.1941785128
30	0.1920274103
31	0.1899432578
32	0.1877982621
33	0.1859539989
34	0.1839308825
35	0.1822363099
36	0.1805929784
37	0.1787033068
38	0.1772939519
39	0.1757245043
40	0.1743746073
41	0.1726835618
42	0.1712302221
43	0.169616701
44	0.1684062143
45	0.1673473922
46	0.1661475368
47	0.1649288697
48	0.1637219565
49	0.1624682728
50	0.161329616
51	0.1604637211
52	0.159542178
53	0.1584992842
54	0.1575926036
55	0.1567844172
56	0.1559309771
57	0.1550886174
58	0.1543448863
59	0.1536097709
60	0.1529820108
61	0.1522916792
62	0.1515968627
63	0.1509935874
64	0.1503373033
65	0.1497398097
66	0.1490588531
67	0.148318555
68	0.1475823951
69	0.1470106705
70	0.1465694213
71	0.146123782
72	0.1454958552
73	0.1450071385
74	0.1444548607
75	0.1440595663
76	0.1435648124
77	0.1429718374
78	0.1425895013
79	0.1420704053
80	0.1416469177
81	0.1413102702
82	0.1408894334
83	0.1405421663
84	0.1401064077
85	0.139774699
86	0.1394098883
87	0.1389717671
88	0.1387046563
89	0.1383840902
90	0.1380269764
91	0.1376164286
92	0.1372726963
93	0.1368709897
94	0.1365632605
95	0.1363022835
96	0.136072689
97	0.135785647
98	0.1354717039
99	0.1351545399
100	0.1348919011
101	0.1345678003
102	0.1341071383
103	0.1338366077
104	0.1336082808
105	0.1333456037
106	0.1331119081
107	0.1329313119
108	0.1326665917
109	0.1324326427
110	0.1322004064
111	0.131887318
112	0.1315700429
113	0.1313371817
114	0.1311394785
115	0.1309565645
116	0.1307048051
117	0.1305020783
118	0.1302285962
119	0.1300773748
120	0.1298279963
121	0.129546759
122	0.1293229642
123	0.129195133
124	0.1289569403
125	0.1286282515
126	0.1284691615
127	0.1282327531
128	0.1280403885
129	0.1278187833
130	0.1276924995
131	0.1274377286
132	0.1272548918
133	0.1270306319
134	0.1268515189
135	0.1267097086
136	0.1266158272
137	0.1264736543
138	0.1262554117
139	0.1260601746
140	0.1259932534
141	0.1257928882
142	0.1256537173
143	0.12552727
144	0.1252845885
145	0.1251138608
146	0.1249365459
147	0.1248287631
148	0.1245572925
149	0.1243311232
150	0.1242645383
151	0.1240323945
152	0.1238750411
153	0.1237859624
154	0.1236048857
155	0.1233971214
156	0.1232429192
157	0.1231028997
158	0.1229905002
159	0.1228394579
160	0.1227276582
161	0.122483377
162	0.1222982573
163	0.1221891377
164	0.1220593294
165	0.1219575168
166	0.121933672
167	0.1216773447
168	0.1215804417
169	0.1213124583
170	0.121087711
171	0.1209186714
172	0.1206965816
173	0.120510786
174	0.1203370495
175	0.1202350696
176	0.1201123005
177	0.1200192111
178	0.1198944931
179	0.119647727
