iter	Passed	Remaining
0	136	136836
1	140	69914
2	143	47531
3	146	36370
4	148	29647
5	151	25161
6	154	21983
7	157	19586
8	160	17716
9	163	16215
10	166	14991
11	169	13973
12	172	13130
13	176	12398
14	179	11765
15	182	11203
16	185	10700
17	188	10264
18	191	9869
19	194	9513
20	196	9182
21	200	8896
22	203	8638
23	206	8397
24	209	8175
25	212	7972
26	215	7779
27	218	7594
28	221	7424
29	224	7258
30	227	7106
31	230	6961
32	232	6826
33	235	6700
34	238	6578
35	241	6461
36	243	6348
37	246	6241
38	249	6143
39	252	6054
40	254	5964
41	257	5880
42	260	5802
43	263	5725
44	266	5651
45	269	5582
46	271	5513
47	274	5446
48	277	5381
49	279	5317
50	282	5257
51	285	5202
52	288	5150
53	291	5103
54	294	5055
55	296	5004
56	299	4958
57	302	4909
58	305	4864
59	307	4818
60	310	4774
61	312	4731
62	315	4689
63	318	4652
64	320	4613
65	323	4576
66	326	4539
67	328	4503
68	331	4468
69	334	4437
70	336	4406
71	339	4375
72	342	4352
73	345	4325
74	348	4295
75	351	4268
76	353	4240
77	356	4212
78	358	4184
79	361	4157
80	364	4130
81	366	4107
82	369	4083
83	372	4061
84	375	4042
85	378	4020
86	381	4000
87	384	3979
88	386	3957
89	389	3935
90	391	3914
91	394	3892
92	397	3872
93	399	3852
94	402	3832
95	404	3812
96	407	3792
97	410	3774
98	412	3755
99	415	3738
100	418	3721
101	420	3705
102	423	3691
103	426	3676
104	429	3659
105	432	3645
106	435	3630
107	437	3615
108	440	3602
109	443	3589
110	446	3576
111	449	3562
112	452	3550
113	455	3539
114	458	3527
115	461	3513
116	463	3500
117	466	3486
118	469	3473
119	471	3459
120	474	3445
121	477	3433
122	479	3419
123	482	3406
124	484	3394
125	487	3381
126	490	3368
127	492	3356
128	495	3344
129	498	3337
130	501	3328
131	505	3323
132	508	3313
133	511	3302
134	513	3291
135	516	3280
136	519	3269
137	522	3262
138	525	3252
139	527	3242
140	531	3235
141	534	3227
142	537	3220
143	540	3213
144	543	3205
145	546	3195
146	549	3188
147	552	3180
148	555	3171
149	558	3162
150	560	3151
151	563	3142
152	565	3132
153	568	3122
154	571	3112
155	573	3102
156	576	3093
157	578	3084
158	581	3076
159	584	3069
160	587	3062
161	590	3054
162	593	3045
163	596	3039
164	599	3031
165	601	3024
166	604	3015
167	607	3007
168	610	2999
169	612	2992
170	615	2985
171	618	2978
172	621	2972
173	624	2964
174	627	2957
175	630	2950
176	633	2943
177	635	2935
178	638	2928
179	641	2922
180	644	2916
181	647	2908
182	649	2900
183	652	2894
184	655	2889
185	658	2883
186	661	2877
187	664	2870
188	667	2864
189	670	2858
190	673	2851
191	675	2844
192	678	2837
193	681	2830
194	683	2823
195	686	2816
196	689	2809
197	691	2802
198	694	2796
199	697	2791
200	701	2787
201	704	2783
202	707	2776
203	709	2770
204	712	2763
205	715	2756
206	717	2749
207	720	2742
208	722	2735
209	725	2729
210	728	2723
211	731	2717
212	733	2711
213	736	2705
214	739	2700
215	742	2695
216	745	2690
217	748	2685
218	751	2681
219	754	2676
220	757	2671
221	760	2665
222	763	2660
223	766	2655
224	769	2650
225	772	2643
226	774	2637
227	777	2632
228	780	2627
229	783	2623
230	786	2617
231	788	2611
232	791	2605
233	794	2600
234	797	2595
235	800	2590
236	802	2584
237	805	2578
238	808	2573
239	810	2567
240	813	2562
241	816	2555
242	818	2550
243	821	2544
244	823	2538
245	826	2534
246	829	2529
247	833	2526
248	836	2521
249	838	2516
250	842	2512
251	844	2508
252	847	2503
253	850	2497
254	853	2493
255	856	2488
256	859	2483
257	862	2479
258	865	2475
259	867	2469
260	870	2464
261	873	2460
262	876	2455
263	878	2449
264	881	2444
265	883	2439
266	886	2433
267	889	2428
268	891	2423
269	894	2418
270	897	2413
271	900	2409
272	903	2405
273	906	2401
274	908	2396
275	911	2391
276	914	2387
277	917	2382
278	920	2377
279	922	2373
280	925	2368
281	928	2363
282	930	2358
283	934	2355
284	937	2351
285	940	2347
286	943	2343
287	946	2341
288	949	2337
289	952	2333
290	955	2329
291	958	2323
292	961	2319
293	964	2315
294	967	2312
295	970	2308
296	973	2304
297	976	2299
298	979	2296
299	982	2292
300	985	2287
301	988	2284
